table_id,player_id,format,category,pos,change,rating,career_best_rating,rank_date,entry_date
1507,10129,TEST,bat,1,-,895,932 v Pakistan at Multan 2024,2025-05-06,2025-05-11
1508,66374,TEST,bat,2,-,876,898 v New Zealand at Wellington 2024,2025-05-06,2025-05-11
1509,4330,TEST,bat,3,-,867,919 v Pakistan at Christchurch 2021,2025-05-06,2025-05-11
1510,69238,TEST,bat,4,-,847,854 v Australia at Melbourne 2024,2025-05-06,2025-05-11
1511,4308,TEST,bat,5,-,823,947 v South Africa at Durban 2018,2025-05-06,2025-05-11
1512,12492,TEST,bat,6,-,769,769 v Pakistan at Cape Town 2025,2025-05-06,2025-05-11
1513,65034,TEST,bat,7,-,761,779 v Australia at Galle 2025,2025-05-06,2025-05-11
1514,62023,TEST,bat,8,-,748,884 v India at The Oval 2023,2025-05-06,2025-05-11
1515,10048,TEST,bat,9,-,739,847 v England at Lord's 2023,2025-05-06,2025-05-11
1516,65756,TEST,bat,9,-,739,801 v England at Edgbaston 2022,2025-05-06,2025-05-11
1517,64153,TEST,bat,9,-,739,764 v South Africa at Centurion 2024,2025-05-06,2025-05-11
1518,57444,TEST,bat,12,-,725,804 v Bangladesh at Sylhet 2023,2025-05-06,2025-05-11
1519,4393,TEST,bat,13,-,708,755 v West Indies at St Lucia 2018,2025-05-06,2025-05-11
1520,20286,TEST,bat,14,-,671,728 v Bangladesh at Rawalpindi 2024,2025-05-06,2025-05-11
1521,63082,TEST,bat,15,-,669,719 v India at Rajkot 2024,2025-05-06,2025-05-11
1522,65083,TEST,bat,15,-,669,937 v West Indies at Adelaide 2022,2025-05-06,2025-05-11
1523,64219,TEST,bat,17,-,662,759 v Australia at Johannesburg 2018,2025-05-06,2025-05-11
1524,63706,TEST,bat,18,-,661,661 v Sri Lanka at Galle 2025,2025-05-06,2025-05-11
1525,3682,TEST,bat,19,+2,655,655 v Bangladesh at Chittagong 2025,2025-05-06,2025-05-11
1526,57440,TEST,bat,20,-1,653,699 v England at The Oval 2024,2025-05-06,2025-05-11
1527,59429,TEST,bat,21,-1,651,882 v New Zealand at Karachi 2022,2025-05-06,2025-05-11
1528,5244,TEST,bat,22,-,641,877 v New Zealand at Christchurch 2014,2025-05-06,2025-05-11
1529,66818,TEST,bat,23,-,631,701 v Bangladesh at Chennai 2024,2025-05-06,2025-05-11
1530,65279,TEST,bat,24,-,630,636 v Sri Lanka at Gqeberha 2024,2025-05-06,2025-05-11
1531,63215,TEST,bat,25,-,626,626 v Zimbabwe at Bulawayo 2025,2025-05-06,2025-05-11
1532,3993,TEST,bat,26,-,614,937 v England at Southampton 2018,2025-05-06,2025-05-11
1533,66053,TEST,bat,27,-,610,711 v India at Pune 2024,2025-05-06,2025-05-11
1534,63882,TEST,bat,28,-,601,693 v West Indies at St Lucia 2018,2025-05-06,2025-05-11
1535,11258,TEST,bat,29,-,594,783 v Ireland at Galle 2023,2025-05-06,2025-05-11
1536,10167,TEST,bat,29,-,594,733 v West Indies at Hamilton 2020,2025-05-06,2025-05-11
1537,66403,TEST,bat,29,-,594,684 v India at Hyderabad 2024,2025-05-06,2025-05-11
1538,64078,TEST,bat,32,-,592,684 v England at Multan 2024,2025-05-06,2025-05-11
1539,66870,TEST,bat,33,-,591,661 v New Zealand at Wellington 2024,2025-05-06,2025-05-11
1540,10130,TEST,bat,34,-,589,827 v West Indies at Old Trafford 2020,2025-05-06,2025-05-11
1541,61910,TEST,bat,35,-,581,581 v England at Hamilton 2024,2025-05-06,2025-05-11
1542,62101,TEST,bat,36,-,579,782 v England at Wellington 2023,2025-05-06,2025-05-11
1543,19394,TEST,bat,37,-,577,772 v South Africa at Old Trafford 2017,2025-05-06,2025-05-11
1544,63206,TEST,bat,38,-1,571,724 v Sri Lanka at Mirpur 2022,2025-05-06,2025-05-11
1545,69554,TEST,bat,38,+1,571,614 v Sri Lanka at The Oval 2024,2025-05-06,2025-05-11
1546,3693,TEST,bat,40,-,569,684 v Pakistan at Rawalpindi 2024,2025-05-06,2025-05-11
1547,3852,TEST,bat,41,-,554,813 v England at The Oval 2021,2025-05-06,2025-05-11
1548,7858,TEST,bat,42,-,551,701 v England at Headingley 2017,2025-05-06,2025-05-11
1549,67258,TEST,bat,43,+1,548,710 v West Indies at Lord's 2024,2025-05-06,2025-05-11
1550,65295,TEST,bat,44,+1,547,584 v England at Wellington 2024,2025-05-06,2025-05-11
1551,13177,TEST,bat,45,+1,545,661 v South Africa at Christchurch 2022,2025-05-06,2025-05-11
1552,11754,TEST,bat,46,+1,542,653 v England at Old Trafford 2020,2025-05-06,2025-05-11
1553,60533,TEST,bat,47,+1,539,661 v Pakistan at Mirpur 2015,2025-05-06,2025-05-11
1554,3850,TEST,bat,48,+1,538,605 v Australia at Nagpur 2023,2025-05-06,2025-05-11
1555,60122,TEST,bat,49,+2,533,761 v Sri Lanka at Pallekele 2017,2025-05-06,2025-05-11
1556,66087,TEST,bat,49,+2,533,533 v Zimbabwe at Bulawayo 2025,2025-05-06,2025-05-11
1557,11690,TEST,bat,51,-8,532,581 v Afghanistan at Bulawayo 2025,2025-05-06,2025-05-11
1558,63872,TEST,bat,52,+1,525,570 v New Zealand at Sylhet 2023,2025-05-06,2025-05-11
1559,65728,TEST,bat,53,+1,520,676 v England at Rawalpindi 2022,2025-05-06,2025-05-11
1560,66368,TEST,bat,54,+1,518,568 v England at The Oval 2024,2025-05-06,2025-05-11
1561,63875,TEST,bat,55,+8,515,515 v Zimbabwe at Chittagong 2025,2025-05-06,2025-05-11
1562,64941,TEST,bat,56,-,504,504 v Pakistan at Cape Town 2025,2025-05-06,2025-05-11
1563,65411,TEST,bat,56,-6,504,535 v Zimbabwe at Sylhet 2025,2025-05-06,2025-05-11
1564,67519,TEST,bat,58,-1,499,509 v Ireland at Abu Dhabi 2024,2025-05-06,2025-05-11
1565,63604,TEST,bat,59,-1,493,528 v New Zealand at Hamilton 2024,2025-05-06,2025-05-11
1566,64266,TEST,bat,60,+17,490,490 v Zimbabwe at Chittagong 2025,2025-05-06,2025-05-11
1567,74761,TEST,bat,61,-1,489,576 v Sri Lanka at Durban 2024,2025-05-06,2025-05-11
1568,3782,TEST,bat,62,-4,488,694 v Australia at Mirpur 2017,2025-05-06,2025-05-11
1569,59902,TEST,bat,63,-2,484,503 v Zimbabwe at Bulawayo 2024,2025-05-06,2025-05-11
1570,65523,TEST,bat,64,-2,473,578 v Bangladesh at Chittagong 2024,2025-05-06,2025-05-11
1571,10232,TEST,bat,65,-2,468,581 v England at Barbados 2019,2025-05-06,2025-05-11
1572,63961,TEST,bat,66,-1,465,666 v Bangladesh at Mirpur 2022,2025-05-06,2025-05-11
1573,62576,TEST,bat,67,-1,464,548 v Australia at Ahmedabad 2023,2025-05-06,2025-05-11
1574,66918,TEST,bat,68,-1,462,497 v Pakistan at Multan 2025,2025-05-06,2025-05-11
1575,85736,TEST,bat,69,-1,460,460 v New Zealand at Hamilton 2024,2025-05-06,2025-05-11
1576,74837,TEST,bat,70,-1,459,528 v Australia at Melbourne 2024,2025-05-06,2025-05-11
1577,63160,TEST,bat,71,-1,458,458 v Zimbabwe at Bulawayo 2025,2025-05-06,2025-05-11
1578,57771,TEST,bat,72,-1,455,597 v India at Cape Town 2022,2025-05-06,2025-05-11
1579,57755,TEST,bat,73,-1,432,460 v Bangladesh at Jamaica 2024,2025-05-06,2025-05-11
1580,10094,TEST,bat,74,-1,429,552 v South Africa at Gqeberha 2018,2025-05-06,2025-05-11
1581,57903,TEST,bat,75,-1,428,431 v England at Mount Maunganui 2019,2025-05-06,2025-05-11
1582,70521,TEST,bat,76,-1,419,484 v England at Grenada 2022,2025-05-06,2025-05-11
1583,57352,TEST,bat,77,-1,417,512 v New Zealand at Mount Maunganui 2023,2025-05-06,2025-05-11
1584,65859,TEST,bat,78,-,409,494 v England at Ahmedabad 2021,2025-05-06,2025-05-11
1585,73612,TEST,bat,78,-,409,409 v Zimbabwe at Bulawayo 2025,2025-05-06,2025-05-11
1586,65525,TEST,bat,80,-,393,415 v Sri Lanka at Durban 2024,2025-05-06,2025-05-11
1587,63605,TEST,bat,80,-,393,397 v Pakistan at Centurion 2024,2025-05-06,2025-05-11
1588,64063,TEST,bat,82,-,389,438 v England at Multan 2024,2025-05-06,2025-05-11
1589,4454,TEST,bat,83,-,386,386 v Zimbabwe at Bulawayo 2025,2025-05-06,2025-05-11
1590,63277,TEST,bat,84,-,381,432 v India at Sydney 2025,2025-05-06,2025-05-11
1591,63962,TEST,bat,85,-,380,509 v New Zealand at Bengaluru 2024,2025-05-06,2025-05-11
1592,69409,TEST,bat,86,-,375,435 v India at Centurion 2023,2025-05-06,2025-05-11
1593,57340,TEST,bat,87,-,373,509 v Pakistan at Karachi 2019,2025-05-06,2025-05-11
1594,66085,TEST,bat,88,-,370,504 v Sri Lanka at Galle 2023,2025-05-06,2025-05-11
1595,25422,TEST,bat,89,-,354,547 v West Indies at Bulawayo 2017,2025-05-06,2025-05-11
1596,69957,TEST,bat,90,+2,352,359 v South Africa at Cape Town 2025,2025-05-06,2025-05-11
1597,70241,TEST,bat,90,+2,352,364 v England at Multan 2024,2025-05-06,2025-05-11
1598,65893,TEST,bat,92,+2,351,417 v Sri Lanka at Galle 2025,2025-05-06,2025-05-11
1599,70291,TEST,bat,93,+2,345,472 v South Africa at Durban 2022,2025-05-06,2025-05-11
1600,71370,TEST,bat,94,+2,342,461 v England at Ranchi 2024,2025-05-06,2025-05-11
1601,69908,TEST,bat,94,+20,342,342 v Bangladesh at Chittagong 2025,2025-05-06,2025-05-11
1602,65690,TEST,bat,96,+1,340,340 v Zimbabwe at Bulawayo 2025,2025-05-06,2025-05-11
1603,69416,TEST,bat,97,+1,336,343 v Sri Lanka at Lord's 2024,2025-05-06,2025-05-11
1604,4321,TEST,bat,98,+2,334,496 v India at Lord's 2018,2025-05-06,2025-05-11
1605,3323,TEST,bat,99,-1,333,461 v India at Mirpur 2022,2025-05-06,2025-05-11
1606,87227,TEST,bat,100,-10,332,354 v Bangladesh at Sylhet 2025,2025-05-06,2025-05-11
1607,63755,TEST,bowl,1,-,908,908 v Australia at Sydney 2025,2025-05-06,2025-05-11
1608,63611,TEST,bowl,2,-,837,902 v Australia at Gqeberha 2018,2025-05-06,2025-05-11
1609,56964,TEST,bowl,3,-,824,914 v England at Old Trafford 2019,2025-05-06,2025-05-11
1610,4255,TEST,bowl,4,-,818,864 v India at Bengaluru 2017,2025-05-06,2025-05-11
1611,29679,TEST,bowl,5,-,812,812 v Sri Lanka at Galle 2025,2025-05-06,2025-05-11
1612,14291,TEST,bowl,6,-,806,806 v West Indies at Multan 2025,2025-05-06,2025-05-11
1613,69409,TEST,bowl,7,-,785,803 v Pakistan at Centurion 2024,2025-05-06,2025-05-11
1614,60544,TEST,bowl,8,-,782,782 v England at Hamilton 2024,2025-05-06,2025-05-11
1615,62411,TEST,bowl,9,-,751,801 v New Zealand at Galle 2024,2025-05-06,2025-05-11
1616,3850,TEST,bowl,10,-,745,899 v Australia at Ranchi 2017,2025-05-06,2025-05-11
1617,10053,TEST,bowl,11,-,737,807 v New Zealand at Perth 2019,2025-05-06,2025-05-11
1618,73200,TEST,bowl,12,-,735,742 v Pakistan at Multan 2025,2025-05-06,2025-05-11
1619,61998,TEST,bowl,13,-,730,745 v India at Sydney 2025,2025-05-06,2025-05-11
1620,69416,TEST,bowl,14,-,715,715 v New Zealand at Hamilton 2024,2025-05-06,2025-05-11
1621,67784,TEST,bowl,15,-,677,705 v Bangladesh at Sylhet 2025,2025-05-06,2025-05-11
1622,35665,TEST,bowl,16,+7,675,708 v New Zealand at Sylhet 2023,2025-05-06,2025-05-11
1623,4321,TEST,bowl,17,-1,674,690 v Pakistan at Old Trafford 2020,2025-05-06,2025-05-11
1624,48607,TEST,bowl,18,-1,673,696 v Zimbabwe at Gqeberha 2017,2025-05-06,2025-05-11
1625,4912,TEST,bowl,19,-1,672,781 v India at Jamaica 2019,2025-05-06,2025-05-11
1626,63865,TEST,bowl,19,-1,672,836 v England at Lord's 2022,2025-05-06,2025-05-11
1627,65029,TEST,bowl,21,-1,644,734 v England at Lord's 2024,2025-05-06,2025-05-11
1628,38066,TEST,bowl,21,-1,644,644 v West Indies at Multan 2025,2025-05-06,2025-05-11
1629,66833,TEST,bowl,23,-1,641,836 v Sri Lanka at Galle 2022,2025-05-06,2025-05-11
1630,63875,TEST,bowl,24,+2,636,696 v West Indies at Dhaka 2018,2025-05-06,2025-05-11
1631,63187,TEST,bowl,25,-1,623,686 v England at Dharamsala 2024,2025-05-06,2025-05-11
1632,64168,TEST,bowl,26,-1,620,820 v New Zealand at Mount Maunganui 2023,2025-05-06,2025-05-11
1633,60444,TEST,bowl,27,-,614,614 v Pakistan at Multan 2025,2025-05-06,2025-05-11
1634,64092,TEST,bowl,28,-,611,630 v India at Mumbai 2024,2025-05-06,2025-05-11
1635,20495,TEST,bowl,29,-,607,838 v New Zealand at Abu Dhabi 2018,2025-05-06,2025-05-11
1636,65799,TEST,bowl,30,-,601,661 v South Africa at Cape Town 2024,2025-05-06,2025-05-11
1637,57974,TEST,bowl,31,-,563,574 v South Africa at Gqeberha 2024,2025-05-06,2025-05-11
1638,57871,TEST,bowl,32,-,560,640 v Australia at The Oval 2023,2025-05-06,2025-05-11
1639,74400,TEST,bowl,33,-,547,547 v England at Hamilton 2024,2025-05-06,2025-05-11
1640,64264,TEST,bowl,34,-,536,577 v South Africa at Johannesburg 2023,2025-05-06,2025-05-11
