table_id,player_id,format,category,pos,change,rating,career_best_rating,rank_date,entry_date
1,10129,TEST,bat,1,-,895,932 v Pakistan at Multan 2024,2025-04-29,2025-05-04
2,66374,TEST,bat,2,-,876,898 v New Zealand at Wellington 2024,2025-04-29,2025-05-04
3,4330,TEST,bat,3,-,867,919 v Pakistan at Christchurch 2021,2025-04-29,2025-05-04
4,69238,TEST,bat,4,-,847,854 v Australia at Melbourne 2024,2025-04-29,2025-05-04
5,4308,TEST,bat,5,-,823,947 v South Africa at Durban 2018,2025-04-29,2025-05-04
6,12492,TEST,bat,6,-,769,769 v Pakistan at Cape Town 2025,2025-04-29,2025-05-04
7,65034,TEST,bat,7,-,761,779 v Australia at Galle 2025,2025-04-29,2025-05-04
8,62023,TEST,bat,8,-,748,884 v India at The Oval 2023,2025-04-29,2025-05-04
9,10048,TEST,bat,9,-,739,847 v England at Lord's 2023,2025-04-29,2025-05-04
10,65756,TEST,bat,9,-,739,801 v England at Edgbaston 2022,2025-04-29,2025-05-04
11,64153,TEST,bat,9,-,739,764 v South Africa at Centurion 2024,2025-04-29,2025-05-04
12,57444,TEST,bat,12,-,725,804 v Bangladesh at Sylhet 2023,2025-04-29,2025-05-04
13,4393,TEST,bat,13,-,708,755 v West Indies at St Lucia 2018,2025-04-29,2025-05-04
14,20286,TEST,bat,14,-,671,728 v Bangladesh at Rawalpindi 2024,2025-04-29,2025-05-04
15,63082,TEST,bat,15,-,669,719 v India at Rajkot 2024,2025-04-29,2025-05-04
16,65083,TEST,bat,15,-,669,937 v West Indies at Adelaide 2022,2025-04-29,2025-05-04
17,64219,TEST,bat,17,-,662,759 v Australia at Johannesburg 2018,2025-04-29,2025-05-04
18,63706,TEST,bat,18,-,661,661 v Sri Lanka at Galle 2025,2025-04-29,2025-05-04
19,57440,TEST,bat,19,-,653,699 v England at The Oval 2024,2025-04-29,2025-05-04
20,59429,TEST,bat,20,-,651,882 v New Zealand at Karachi 2022,2025-04-29,2025-05-04
21,3682,TEST,bat,21,-,648,653 v Afghanistan at Bulawayo 2024,2025-04-29,2025-05-04
22,5244,TEST,bat,22,-1,641,877 v New Zealand at Christchurch 2014,2025-04-29,2025-05-04
23,66818,TEST,bat,23,-,631,701 v Bangladesh at Chennai 2024,2025-04-29,2025-05-04
24,65279,TEST,bat,24,-,630,636 v Sri Lanka at Gqeberha 2024,2025-04-29,2025-05-04
25,63215,TEST,bat,25,-,626,626 v Zimbabwe at Bulawayo 2025,2025-04-29,2025-05-04
26,3993,TEST,bat,26,-,614,937 v England at Southampton 2018,2025-04-29,2025-05-04
27,66053,TEST,bat,27,-,610,711 v India at Pune 2024,2025-04-29,2025-05-04
28,63882,TEST,bat,28,-,601,693 v West Indies at St Lucia 2018,2025-04-29,2025-05-04
29,11258,TEST,bat,29,-,594,783 v Ireland at Galle 2023,2025-04-29,2025-05-04
30,10167,TEST,bat,29,-,594,733 v West Indies at Hamilton 2020,2025-04-29,2025-05-04
31,66403,TEST,bat,29,-,594,684 v India at Hyderabad 2024,2025-04-29,2025-05-04
32,64078,TEST,bat,32,+1,592,684 v England at Multan 2024,2025-04-29,2025-05-04
33,66870,TEST,bat,33,+1,591,661 v New Zealand at Wellington 2024,2025-04-29,2025-05-04
34,10130,TEST,bat,34,+1,589,827 v West Indies at Old Trafford 2020,2025-04-29,2025-05-04
35,61910,TEST,bat,35,+2,581,581 v England at Hamilton 2024,2025-04-29,2025-05-04
36,62101,TEST,bat,36,+2,579,782 v England at Wellington 2023,2025-04-29,2025-05-04
37,19394,TEST,bat,37,+2,577,772 v South Africa at Old Trafford 2017,2025-04-29,2025-05-04
38,63206,TEST,bat,37,-1,577,724 v Sri Lanka at Mirpur 2022,2025-04-29,2025-05-04
39,69554,TEST,bat,39,+2,571,614 v Sri Lanka at The Oval 2024,2025-04-29,2025-05-04
40,3693,TEST,bat,40,-8,566,684 v Pakistan at Rawalpindi 2024,2025-04-29,2025-05-04
41,3852,TEST,bat,41,+1,554,813 v England at The Oval 2021,2025-04-29,2025-05-04
42,7858,TEST,bat,42,+1,551,701 v England at Headingley 2017,2025-04-29,2025-05-04
43,11690,TEST,bat,43,-3,549,581 v Afghanistan at Bulawayo 2025,2025-04-29,2025-05-04
44,67258,TEST,bat,44,-,548,710 v West Indies at Lord's 2024,2025-04-29,2025-05-04
45,65295,TEST,bat,45,-,547,584 v England at Wellington 2024,2025-04-29,2025-05-04
46,13177,TEST,bat,46,-,545,661 v South Africa at Christchurch 2022,2025-04-29,2025-05-04
47,11754,TEST,bat,47,-,542,653 v England at Old Trafford 2020,2025-04-29,2025-05-04
48,60533,TEST,bat,48,+5,539,661 v Pakistan at Mirpur 2015,2025-04-29,2025-05-04
49,3850,TEST,bat,49,-1,538,605 v Australia at Nagpur 2023,2025-04-29,2025-05-04
50,65411,TEST,bat,50,+10,535,535 v Zimbabwe at Sylhet 2025,2025-04-29,2025-05-04
51,60122,TEST,bat,51,-2,533,761 v Sri Lanka at Pallekele 2017,2025-04-29,2025-05-04
52,66087,TEST,bat,51,-2,533,533 v Zimbabwe at Bulawayo 2025,2025-04-29,2025-05-04
53,63872,TEST,bat,53,+4,530,570 v New Zealand at Sylhet 2023,2025-04-29,2025-05-04
54,65728,TEST,bat,54,-3,520,676 v England at Rawalpindi 2022,2025-04-29,2025-05-04
55,66368,TEST,bat,55,-3,518,568 v England at The Oval 2024,2025-04-29,2025-05-04
56,64941,TEST,bat,56,-2,504,504 v Pakistan at Cape Town 2025,2025-04-29,2025-05-04
57,67519,TEST,bat,57,-2,499,509 v Ireland at Abu Dhabi 2024,2025-04-29,2025-05-04
58,3782,TEST,bat,58,-2,493,694 v Australia at Mirpur 2017,2025-04-29,2025-05-04
59,63604,TEST,bat,58,-,493,528 v New Zealand at Hamilton 2024,2025-04-29,2025-05-04
60,74761,TEST,bat,60,+1,489,576 v Sri Lanka at Durban 2024,2025-04-29,2025-05-04
61,59902,TEST,bat,61,+1,484,503 v Zimbabwe at Bulawayo 2024,2025-04-29,2025-05-04
62,65523,TEST,bat,62,+1,473,578 v Bangladesh at Chittagong 2024,2025-04-29,2025-05-04
63,10232,TEST,bat,63,+1,468,581 v England at Barbados 2019,2025-04-29,2025-05-04
64,63875,TEST,bat,63,-5,468,493 v West Indies at Jamaica 2024,2025-04-29,2025-05-04
65,63961,TEST,bat,65,-,465,666 v Bangladesh at Mirpur 2022,2025-04-29,2025-05-04
66,62576,TEST,bat,66,-,464,548 v Australia at Ahmedabad 2023,2025-04-29,2025-05-04
67,66918,TEST,bat,67,-,462,497 v Pakistan at Multan 2025,2025-04-29,2025-05-04
68,85736,TEST,bat,68,-,460,460 v New Zealand at Hamilton 2024,2025-04-29,2025-05-04
69,74837,TEST,bat,69,-,459,528 v Australia at Melbourne 2024,2025-04-29,2025-05-04
70,63160,TEST,bat,70,-,458,458 v Zimbabwe at Bulawayo 2025,2025-04-29,2025-05-04
71,57771,TEST,bat,71,-,455,597 v India at Cape Town 2022,2025-04-29,2025-05-04
72,57755,TEST,bat,72,+1,432,460 v Bangladesh at Jamaica 2024,2025-04-29,2025-05-04
73,10094,TEST,bat,73,+1,429,552 v South Africa at Gqeberha 2018,2025-04-29,2025-05-04
74,57903,TEST,bat,74,+1,428,431 v England at Mount Maunganui 2019,2025-04-29,2025-05-04
75,70521,TEST,bat,75,+1,419,484 v England at Grenada 2022,2025-04-29,2025-05-04
76,57352,TEST,bat,76,+1,417,512 v New Zealand at Mount Maunganui 2023,2025-04-29,2025-05-04
77,64266,TEST,bat,77,-5,414,436 v West Indies at Jamaica 2024,2025-04-29,2025-05-04
78,65859,TEST,bat,78,-,409,494 v England at Ahmedabad 2021,2025-04-29,2025-05-04
79,73612,TEST,bat,78,-,409,409 v Zimbabwe at Bulawayo 2025,2025-04-29,2025-05-04
80,65525,TEST,bat,80,+1,393,415 v Sri Lanka at Durban 2024,2025-04-29,2025-05-04
81,63605,TEST,bat,80,+1,393,397 v Pakistan at Centurion 2024,2025-04-29,2025-05-04
82,64063,TEST,bat,82,+1,389,438 v England at Multan 2024,2025-04-29,2025-05-04
83,4454,TEST,bat,83,+1,386,386 v Zimbabwe at Bulawayo 2025,2025-04-29,2025-05-04
84,63277,TEST,bat,84,+1,381,432 v India at Sydney 2025,2025-04-29,2025-05-04
85,63962,TEST,bat,85,+1,380,509 v New Zealand at Bengaluru 2024,2025-04-29,2025-05-04
86,69409,TEST,bat,86,+1,375,435 v India at Centurion 2023,2025-04-29,2025-05-04
87,57340,TEST,bat,87,+1,373,509 v Pakistan at Karachi 2019,2025-04-29,2025-05-04
88,66085,TEST,bat,88,+1,370,504 v Sri Lanka at Galle 2023,2025-04-29,2025-05-04
89,25422,TEST,bat,89,+1,358,547 v West Indies at Bulawayo 2017,2025-04-29,2025-05-04
90,65847,TEST,bat,90,-10,354,399 v Ireland at Bulawayo 2025,2025-04-29,2025-05-04
91,87227,TEST,bat,90,+54,354,354 v Bangladesh at Sylhet 2025,2025-04-29,2025-05-04
92,69957,TEST,bat,92,-1,352,359 v South Africa at Cape Town 2025,2025-04-29,2025-05-04
93,70241,TEST,bat,92,-1,352,364 v England at Multan 2024,2025-04-29,2025-05-04
94,65893,TEST,bat,94,-1,351,417 v Sri Lanka at Galle 2025,2025-04-29,2025-05-04
95,70291,TEST,bat,95,+5,348,472 v South Africa at Durban 2022,2025-04-29,2025-05-04
96,71370,TEST,bat,96,-1,342,461 v England at Ranchi 2024,2025-04-29,2025-05-04
97,65690,TEST,bat,97,-1,340,340 v Zimbabwe at Bulawayo 2025,2025-04-29,2025-05-04
98,3323,TEST,bat,98,-2,336,461 v India at Mirpur 2022,2025-04-29,2025-05-04
99,69416,TEST,bat,98,-,336,343 v Sri Lanka at Lord's 2024,2025-04-29,2025-05-04
100,4321,TEST,bat,100,+1,334,496 v India at Lord's 2018,2025-04-29,2025-05-04
101,63755,TEST,bowl,1,-,908,908 v Australia at Sydney 2025,2025-04-29,2025-05-04
102,63611,TEST,bowl,2,-,837,902 v Australia at Gqeberha 2018,2025-04-29,2025-05-04
103,56964,TEST,bowl,3,-,824,914 v England at Old Trafford 2019,2025-04-29,2025-05-04
104,4255,TEST,bowl,4,-,818,864 v India at Bengaluru 2017,2025-04-29,2025-05-04
105,29679,TEST,bowl,5,-,812,812 v Sri Lanka at Galle 2025,2025-04-29,2025-05-04
106,14291,TEST,bowl,6,-,806,806 v West Indies at Multan 2025,2025-04-29,2025-05-04
107,69409,TEST,bowl,7,-,785,803 v Pakistan at Centurion 2024,2025-04-29,2025-05-04
108,60544,TEST,bowl,8,-,782,782 v England at Hamilton 2024,2025-04-29,2025-05-04
109,62411,TEST,bowl,9,-,751,801 v New Zealand at Galle 2024,2025-04-29,2025-05-04
110,3850,TEST,bowl,10,-,745,899 v Australia at Ranchi 2017,2025-04-29,2025-05-04
111,10053,TEST,bowl,11,-,737,807 v New Zealand at Perth 2019,2025-04-29,2025-05-04
112,73200,TEST,bowl,12,-,735,742 v Pakistan at Multan 2025,2025-04-29,2025-05-04
113,61998,TEST,bowl,13,-,730,745 v India at Sydney 2025,2025-04-29,2025-05-04
114,69416,TEST,bowl,14,-,715,715 v New Zealand at Hamilton 2024,2025-04-29,2025-05-04
115,67784,TEST,bowl,15,+14,705,705 v Bangladesh at Sylhet 2025,2025-04-29,2025-05-04
116,4321,TEST,bowl,16,-1,674,690 v Pakistan at Old Trafford 2020,2025-04-29,2025-05-04
117,48607,TEST,bowl,17,-1,673,696 v Zimbabwe at Gqeberha 2017,2025-04-29,2025-05-04
118,4912,TEST,bowl,18,-1,672,781 v India at Jamaica 2019,2025-04-29,2025-05-04
119,63865,TEST,bowl,18,-1,672,836 v England at Lord's 2022,2025-04-29,2025-05-04
120,65029,TEST,bowl,20,-,644,734 v England at Lord's 2024,2025-04-29,2025-05-04
121,38066,TEST,bowl,20,-,644,644 v West Indies at Multan 2025,2025-04-29,2025-05-04
122,66833,TEST,bowl,22,-,641,836 v Sri Lanka at Galle 2022,2025-04-29,2025-05-04
123,35665,TEST,bowl,23,-4,626,708 v New Zealand at Sylhet 2023,2025-04-29,2025-05-04
124,63187,TEST,bowl,24,-1,623,686 v England at Dharamsala 2024,2025-04-29,2025-05-04
125,64168,TEST,bowl,25,-1,620,820 v New Zealand at Mount Maunganui 2023,2025-04-29,2025-05-04
126,63875,TEST,bowl,26,+4,619,696 v West Indies at Dhaka 2018,2025-04-29,2025-05-04
127,60444,TEST,bowl,27,-2,614,614 v Pakistan at Multan 2025,2025-04-29,2025-05-04
128,64092,TEST,bowl,28,-2,611,630 v India at Mumbai 2024,2025-04-29,2025-05-04
129,20495,TEST,bowl,29,-2,607,838 v New Zealand at Abu Dhabi 2018,2025-04-29,2025-05-04
130,65799,TEST,bowl,30,-2,601,661 v South Africa at Cape Town 2024,2025-04-29,2025-05-04
131,57974,TEST,bowl,31,-,563,574 v South Africa at Gqeberha 2024,2025-04-29,2025-05-04
132,57871,TEST,bowl,32,-,560,640 v Australia at The Oval 2023,2025-04-29,2025-05-04
133,74400,TEST,bowl,33,-,547,547 v England at Hamilton 2024,2025-04-29,2025-05-04
134,64264,TEST,bowl,34,-,536,577 v South Africa at Johannesburg 2023,2025-04-29,2025-05-04
135,57677,TEST,bowl,35,-,535,604 v New Zealand at Headingley 2022,2025-04-29,2025-05-04
136,10232,TEST,bowl,36,-,533,862 v England at Southampton 2020,2025-04-29,2025-05-04
137,65090,TEST,bowl,37,+1,529,529 v New Zealand at Hamilton 2024,2025-04-29,2025-05-04
138,65033,TEST,bowl,38,+1,526,544 v England at The Oval 2024,2025-04-29,2025-05-04
139,69956,TEST,bowl,38,+1,526,542 v South Africa at Centurion 2024,2025-04-29,2025-05-04
140,3782,TEST,bowl,40,-3,525,705 v Australia at Mirpur 2017,2025-04-29,2025-05-04
141,57903,TEST,bowl,41,-,521,521 v England at Hamilton 2024,2025-04-29,2025-05-04
142,63899,TEST,bowl,42,-,516,641 v Pakistan at Galle 2023,2025-04-29,2025-05-04
143,64225,TEST,bowl,43,-,502,638 v India at Cape Town 2022,2025-04-29,2025-05-04
