table_id,team_id,format,pos,change,matches,points,rating,rank_date,entry_date
222,1,TEST,1,-,25,3139,126,2025-05-03,2025-05-11
223,3,TEST,2,+2,33,3716,113,2025-05-03,2025-05-11
224,7,TEST,3,-1,21,2325,111,2025-05-03,2025-05-11
225,4,TEST,4,-1,27,2837,105,2025-05-03,2025-05-11
226,5,TEST,5,-,22,2094,95,2025-05-03,2025-05-11
227,8,TEST,6,-,24,2078,87,2025-05-03,2025-05-11
228,6,TEST,7,-,22,1705,78,2025-05-03,2025-05-11
229,9,TEST,8,-,22,1613,73,2025-05-03,2025-05-11
230,2,TEST,9,-,24,1487,62,2025-05-03,2025-05-11
231,10,TEST,10,-,10,128,13,2025-05-03,2025-05-11
232,4,ODI,1,-,36,4471,124,2025-05-10,2025-05-11
233,5,ODI,2,-,38,4160,109,2025-05-10,2025-05-11
234,1,ODI,3,-,32,3473,109,2025-05-10,2025-05-11
235,8,ODI,4,-,36,3730,104,2025-05-10,2025-05-11
236,6,ODI,5,-,32,3312,104,2025-05-10,2025-05-11
237,7,ODI,6,-,29,2775,96,2025-05-10,2025-05-11
238,1188,ODI,7,-,25,2279,91,2025-05-10,2025-05-11
239,3,ODI,8,-,31,2615,84,2025-05-10,2025-05-11
240,9,ODI,9,-,27,2246,83,2025-05-10,2025-05-11
241,2,ODI,10,-,29,2205,76,2025-05-10,2025-05-11
242,10,ODI,11,-,22,1202,55,2025-05-10,2025-05-11
243,13,ODI,12,-,16,775,48,2025-05-10,2025-05-11
244,15,ODI,13,+1,30,1321,44,2025-05-10,2025-05-11
245,16,ODI,14,-1,25,1088,44,2025-05-10,2025-05-11
246,22,ODI,15,-,30,1164,39,2025-05-10,2025-05-11
247,28,ODI,16,-,21,655,31,2025-05-10,2025-05-11
248,12,ODI,17,-,16,478,30,2025-05-10,2025-05-11
249,637,ODI,18,-,28,786,28,2025-05-10,2025-05-11
250,20,ODI,19,-,30,573,19,2025-05-10,2025-05-11
251,21,ODI,20,-,30,262,9,2025-05-10,2025-05-11
252,4,T20,1,-,57,15425,271,2025-05-03,2025-05-11
253,1,T20,2,-,29,7593,262,2025-05-03,2025-05-11
254,3,T20,3,-,37,9402,254,2025-05-03,2025-05-11
255,5,T20,4,-,41,10224,249,2025-05-03,2025-05-11
256,9,T20,5,-,39,9584,246,2025-05-03,2025-05-11
257,7,T20,6,-,35,8578,245,2025-05-03,2025-05-11
258,8,T20,7,+1,31,7287,235,2025-05-03,2025-05-11
259,6,T20,8,-1,44,10044,228,2025-05-03,2025-05-11
260,2,T20,9,-,38,8538,225,2025-05-03,2025-05-11
261,1188,T20,10,-,30,6699,223,2025-05-03,2025-05-11
262,13,T20,11,+1,31,6247,202,2025-05-03,2025-05-11
263,10,T20,12,-1,44,8805,200,2025-05-03,2025-05-11
264,16,T20,13,-,16,3049,191,2025-05-03,2025-05-11
265,15,T20,14,-,25,4597,184,2025-05-03,2025-05-11
266,21,T20,15,+1,37,6629,179,2025-05-03,2025-05-11
267,20,T20,16,-1,26,4617,178,2025-05-03,2025-05-11
268,22,T20,17,-,33,5769,175,2025-05-03,2025-05-11
269,637,T20,18,-,29,4789,165,2025-05-03,2025-05-11
270,12,T20,19,+2,27,4073,151,2025-05-03,2025-05-11
271,28,T20,20,-1,35,5121,146,2025-05-03,2025-05-11
272,750,T20,21,-1,17,2416,142,2025-05-03,2025-05-11
273,29,T20,22,-,45,6237,139,2025-05-03,2025-05-11
