table_id,team_id,format,pos,change,matches,points,rating,rank_date,entry_date
1,1,TEST,1,-,39,4942,127,2025-04-30,2025-05-04
2,7,TEST,2,-,30,3355,112,2025-04-30,2025-05-04
3,4,TEST,3,-,39,4248,109,2025-04-30,2025-05-04
4,3,TEST,4,-,46,4815,105,2025-04-30,2025-05-04
5,5,TEST,5,-,33,3216,97,2025-04-30,2025-05-04
6,8,TEST,6,-,31,2664,86,2025-04-30,2025-05-04
7,6,TEST,7,-,30,2462,82,2025-04-30,2025-05-04
8,9,TEST,8,-,32,2433,76,2025-04-30,2025-05-04
9,2,TEST,9,-,32,1959,61,2025-04-30,2025-05-04
10,13,TEST,10,-,6,181,30,2025-04-30,2025-05-04
11,1188,TEST,11,-,6,112,19,2025-04-30,2025-05-04
12,10,TEST,12,-,10,120,12,2025-04-30,2025-05-04
13,4,ODI,1,-,53,6486,122,2025-04-05,2025-05-04
14,1,ODI,2,-,46,5039,110,2025-04-05,2025-05-04
15,5,ODI,3,-,49,5304,108,2025-04-05,2025-05-04
16,6,ODI,4,-,43,4414,103,2025-04-05,2025-05-04
17,7,ODI,5,-,44,4421,100,2025-04-05,2025-05-04
18,8,ODI,6,-,60,5954,99,2025-04-05,2025-05-04
19,3,ODI,7,-,42,3715,88,2025-04-05,2025-05-04
20,1188,ODI,8,-,41,3556,87,2025-04-05,2025-05-04
21,2,ODI,9,-,48,3854,80,2025-04-05,2025-05-04
22,9,ODI,10,-,41,3185,78,2025-04-05,2025-05-04
23,10,ODI,11,-,32,1680,53,2025-04-05,2025-05-04
24,16,ODI,12,-,31,1586,51,2025-04-05,2025-05-04
25,13,ODI,13,-,28,1414,51,2025-04-05,2025-05-04
26,15,ODI,14,-,44,1907,43,2025-04-05,2025-05-04
27,22,ODI,15,-,36,1205,33,2025-04-05,2025-05-04
28,12,ODI,16,-,19,604,32,2025-04-05,2025-05-04
29,28,ODI,17,-,35,1040,30,2025-04-05,2025-05-04
30,637,ODI,18,-,41,1077,26,2025-04-05,2025-05-04
31,20,ODI,19,-,36,802,22,2025-04-05,2025-05-04
32,21,ODI,20,-,38,393,10,2025-04-05,2025-05-04
33,4,T20,1,-,75,20170,269,2025-04-13,2025-05-04
34,1,T20,2,-,48,12417,259,2025-04-13,2025-05-04
35,3,T20,3,-,50,12688,254,2025-04-13,2025-05-04
36,5,T20,4,-,59,14652,248,2025-04-13,2025-05-04
37,9,T20,5,-,59,14587,247,2025-04-13,2025-05-04
38,7,T20,6,-,46,11345,247,2025-04-13,2025-05-04
39,6,T20,7,-,59,13845,235,2025-04-13,2025-05-04
40,8,T20,8,-,48,11159,232,2025-04-13,2025-05-04
41,2,T20,9,-,56,12797,229,2025-04-13,2025-05-04
42,1188,T20,10,-,42,9322,222,2025-04-13,2025-05-04
43,10,T20,11,-,58,11429,197,2025-04-13,2025-05-04
44,13,T20,12,-,50,9775,196,2025-04-13,2025-05-04
45,16,T20,13,-,27,5151,191,2025-04-13,2025-05-04
46,15,T20,14,-,28,5131,183,2025-04-13,2025-05-04
47,20,T20,15,-,44,8032,183,2025-04-13,2025-05-04
48,21,T20,16,-,58,10389,179,2025-04-13,2025-05-04
49,22,T20,17,+1,33,5626,170,2025-04-13,2025-05-04
50,637,T20,18,-1,49,8295,169,2025-04-13,2025-05-04
51,28,T20,19,-,53,8161,154,2025-04-13,2025-05-04
52,750,T20,20,-,31,4472,144,2025-04-13,2025-05-04
53,12,T20,21,-,31,4302,139,2025-04-13,2025-05-04
54,29,T20,22,-,74,10041,136,2025-04-13,2025-05-04
55,19,T20,23,-,55,7223,131,2025-04-13,2025-05-04
56,1797,T20,24,-,51,6587,129,2025-04-13,2025-05-04
57,1872,T20,25,-,60,7220,120,2025-04-13,2025-05-04
58,552,T20,26,-,54,6421,119,2025-04-13,2025-05-04
59,1481,T20,27,-,26,3063,118,2025-04-13,2025-05-04
60,11,T20,28,+1,19,2148,113,2025-04-13,2025-05-04
61,1763,T20,29,-1,38,4243,112,2025-04-13,2025-05-04
62,1739,T20,30,-,22,2442,111,2025-04-13,2025-05-04
63,1298,T20,31,-,18,1944,108,2025-04-13,2025-05-04
64,1751,T20,32,-,41,4409,108,2025-04-13,2025-05-04
65,14,T20,33,-,56,5870,105,2025-04-13,2025-05-04
66,1731,T20,34,-,47,4301,92,2025-04-13,2025-05-04
67,1822,T20,35,-,32,2860,89,2025-04-13,2025-05-04
68,1671,T20,36,-,49,3835,78,2025-04-13,2025-05-04
69,1814,T20,37,-,23,1759,76,2025-04-13,2025-05-04
70,1565,T20,38,-,32,2415,75,2025-04-13,2025-05-04
71,151,T20,39,+1,17,1204,71,2025-04-13,2025-05-04
72,1774,T20,40,-1,23,1582,69,2025-04-13,2025-05-04
73,26,T20,41,-,25,1711,68,2025-04-13,2025-05-04
74,1765,T20,42,-,20,1338,67,2025-04-13,2025-05-04
75,3790,T20,43,-,28,1745,62,2025-04-13,2025-05-04
76,1805,T20,44,-,14,857,61,2025-04-13,2025-05-04
77,1801,T20,45,-,36,2174,60,2025-04-13,2025-05-04
78,1870,T20,46,-,29,1710,59,2025-04-13,2025-05-04
79,1723,T20,47,-,34,1887,56,2025-04-13,2025-05-04
80,1826,T20,48,-,24,1325,55,2025-04-13,2025-05-04
81,2833,T20,49,-,17,934,55,2025-04-13,2025-05-04
82,1863,T20,50,-,38,1976,52,2025-04-13,2025-05-04
83,25,T20,51,-,17,807,47,2025-04-13,2025-05-04
84,1843,T20,52,-,9,426,47,2025-04-13,2025-05-04
85,1761,T20,53,-,28,1316,47,2025-04-13,2025-05-04
86,1791,T20,54,-,30,1369,46,2025-04-13,2025-05-04
87,1730,T20,55,-,34,1549,46,2025-04-13,2025-05-04
88,1733,T20,56,-,17,770,45,2025-04-13,2025-05-04
89,1828,T20,57,-,21,950,45,2025-04-13,2025-05-04
90,117,T20,58,-,16,716,45,2025-04-13,2025-05-04
91,1835,T20,59,-,19,809,43,2025-04-13,2025-05-04
92,1720,T20,60,-,22,884,40,2025-04-13,2025-05-04
93,1767,T20,61,-,24,894,37,2025-04-13,2025-05-04
94,1779,T20,62,-,21,751,36,2025-04-13,2025-05-04
95,301,T20,63,-,11,387,35,2025-04-13,2025-05-04
96,1757,T20,64,-,82,2872,35,2025-04-13,2025-05-04
97,1753,T20,65,-,11,357,32,2025-04-13,2025-05-04
98,1809,T20,66,-,51,1653,32,2025-04-13,2025-05-04
99,1820,T20,67,-,33,1045,32,2025-04-13,2025-05-04
100,1833,T20,68,-,19,597,31,2025-04-13,2025-05-04
101,1811,T20,69,-,21,601,29,2025-04-13,2025-05-04
102,1745,T20,70,-,30,840,28,2025-04-13,2025-05-04
103,1793,T20,71,-,28,753,27,2025-04-13,2025-05-04
104,1841,T20,72,-,11,292,27,2025-04-13,2025-05-04
105,1803,T20,73,-,7,178,25,2025-04-13,2025-05-04
106,1785,T20,74,-,50,1146,23,2025-04-13,2025-05-04
107,1868,T20,75,-,11,230,21,2025-04-13,2025-05-04
108,1818,T20,76,-,31,615,20,2025-04-13,2025-05-04
109,1742,T20,77,-,8,150,19,2025-04-13,2025-05-04
110,1837,T20,78,-,17,272,16,2025-04-13,2025-05-04
111,1737,T20,79,-,8,119,15,2025-04-13,2025-05-04
112,1861,T20,80,-,9,131,15,2025-04-13,2025-05-04
113,1865,T20,81,-,27,359,13,2025-04-13,2025-05-04
114,1771,T20,82,-,17,214,13,2025-04-13,2025-05-04
115,1783,T20,83,-,17,214,13,2025-04-13,2025-05-04
116,1839,T20,84,-,17,167,10,2025-04-13,2025-05-04
117,1735,T20,85,-,22,212,10,2025-04-13,2025-05-04
118,1789,T20,86,-,31,234,8,2025-04-13,2025-05-04
119,1755,T20,87,-,8,53,7,2025-04-13,2025-05-04
120,1857,T20,88,-,15,99,7,2025-04-13,2025-05-04
121,1850,T20,89,-,11,53,5,2025-04-13,2025-05-04
122,1859,T20,90,-,25,96,4,2025-04-13,2025-05-04
123,1749,T20,91,-,22,70,3,2025-04-13,2025-05-04
124,1795,T20,92,-,16,3,0,2025-04-13,2025-05-04
125,4025,T20,93,-,14,0,0,2025-04-13,2025-05-04
126,1728,T20,94,-,9,0,0,2025-04-13,2025-05-04
127,1741,T20,95,-,8,0,0,2025-04-13,2025-05-04
128,1747,T20,96,-,10,0,0,2025-04-13,2025-05-04
129,1777,T20,97,-,19,0,0,2025-04-13,2025-05-04
130,1787,T20,98,-,11,0,0,2025-04-13,2025-05-04
131,1816,T20,99,-,8,0,0,2025-04-13,2025-05-04
132,1824,T20,100,-,9,0,0,2025-04-13,2025-05-04
133,1119,ODIW,1,-,29,4876,168,2025-05-02,2025-05-04
134,1121,ODIW,2,-,30,3719,124,2025-05-02,2025-05-04
135,1126,ODIW,3,-,31,3519,114,2025-05-02,2025-05-04
136,1129,ODIW,4,+1,27,2693,100,2025-05-02,2025-05-04
137,1131,ODIW,5,-1,27,2659,98,2025-05-02,2025-05-04
138,1133,ODIW,6,+2,18,1492,83,2025-05-02,2025-05-04
139,1135,ODIW,7,-1,30,2463,82,2025-05-02,2025-05-04
140,1276,ODIW,8,-1,28,2221,79,2025-05-02,2025-05-04
141,1130,ODIW,9,-,28,1960,70,2025-05-02,2025-05-04
142,1125,ODIW,10,-,32,1561,49,2025-05-02,2025-05-04
143,1482,ODIW,11,-,12,540,45,2025-05-02,2025-05-04
144,1132,ODIW,12,-,14,588,42,2025-05-02,2025-05-04
145,1123,ODIW,13,-,10,226,23,2025-05-02,2025-05-04
146,1725,ODIW,14,-,10,167,17,2025-05-02,2025-05-04
147,1485,ODIW,15,-,18,204,11,2025-05-02,2025-05-04
148,1483,ODIW,16,-,9,0,0,2025-05-02,2025-05-04
149,1119,T20W,1,-,31,9260,299,2025-05-02,2025-05-04
150,1121,T20W,2,-,38,10619,279,2025-05-02,2025-05-04
