team_id,team,country_id,short_name,entry_date
1,Australia,1,AUS,2025-05-04
2,Bangladesh,2,BAN,2025-05-04
3,England,3,ENG,2025-05-04
4,India,4,IND,2025-05-04
5,New Zealand,5,NZ,2025-05-04
6,Pakistan,6,PAK,2025-05-04
7,South Africa,7,SA,2025-05-04
8,Sri Lanka,8,SL,2025-05-04
9,West Indies,9,WI,2025-05-04
10,Zimbabwe,10,ZIM,2025-05-04
11,Bermuda,11,BDA,2025-05-04
12,Canada,12,CAN,2025-05-04
13,Ireland,13,IRE,2025-05-04
14,Kenya,14,KEN,2025-05-04
15,Netherlands,15,NED,2025-05-04
16,Scotland,16,SCO,2025-05-04
19,"Hong Kong, China",17,HK,2025-05-04
20,Namibia,18,NAM,2025-05-04
21,United Arab Emirates,19,UAE,2025-05-04
22,USA,20,USA,2025-05-04
25,Argentina,22,ARG,2025-05-04
26,Denmark,76,DEN,2025-05-04
28,Oman,181,OMN,2025-05-04
29,Uganda,240,UGN,2025-05-04
117,Bahamas,36,BAH,2025-05-04
151,Cayman Islands,58,CAY,2025-05-04
301,Fiji,91,FIJ,2025-05-04
552,Malaysia,149,MAS,2025-05-04
637,Nepal,170,NEP,2025-05-04
750,Papua New Guinea,184,PNG,2025-05-04
1119,Australia,1,AUS,2025-05-04
1120,Denmark,76,DEN,2025-05-04
1121,England,3,ENG,2025-05-04
1123,Netherlands,15,NED,2025-05-04
1125,Ireland,13,IRE,2025-05-04
1126,India,4,IND,2025-05-04
1127,Japan,128,JPN,2025-05-04
1129,New Zealand,5,NZ,2025-05-04
1130,Pakistan,6,PAK,2025-05-04
1131,South Africa,7,SA,2025-05-04
1132,Scotland,16,SCO,2025-05-04
1133,Sri Lanka,8,SL,2025-05-04
1135,West Indies,9,WI,2025-05-04
1188,Afghanistan,262,AFG,2025-05-04
1276,Bangladesh,2,BAN,2025-05-04
1298,Italy,125,ITA,2025-05-04
1481,Jersey,259,JSY,2025-05-04
1482,Thailand,230,THA,2025-05-04
1483,Papua New Guinea,184,PNG,2025-05-04
1484,China,63,CHN,2025-05-04
1485,Zimbabwe,10,ZIM,2025-05-04
1535,Nepal,170,NEP,2025-05-04
1565,Singapore,210,SIN,2025-05-04
1638,Malaysia,149,MAS,2025-05-04
1641,Uganda,240,UGN,2025-05-04
1642,United Arab Emirates,19,UAE,2025-05-04
1671,Nigeria,176,NGR,2025-05-04
1716,Namibia,18,NAM,2025-05-04
