transaction_id,table_name,records,type,entry_date
1,countries_master,30,INSERT,2025-05-04
2,teams_master,47,INSERT,2025-05-04
3,players_master,615,INSERT,2025-05-04
4,player_rankings,1506,INSERT,2025-05-04
5,countries_master,71,INSERT,2025-05-04
6,teams_master,126,INSERT,2025-05-04
7,team_rankings,221,INSERT,2025-05-04
8,team_rankings_old,0,INSERT,2025-05-04
9,player_rankings_old,0,INSERT,2025-05-04
10,team_rankings,0,DELETE,2025-05-04
11,player_rankings,0,DELETE,2025-05-04
12,countries_master,0,INSERT,2025-05-11
13,teams_master,0,INSERT,2025-05-11
14,players_master,5,INSERT,2025-05-11
15,player_rankings,1509,INSERT,2025-05-11
16,countries_master,0,INSERT,2025-05-11
17,teams_master,0,INSERT,2025-05-11
18,team_rankings,219,INSERT,2025-05-11
19,team_rankings_old,221,INSERT,2025-05-11
20,player_rankings_old,1506,INSERT,2025-05-11
21,team_rankings,221,DELETE,2025-05-11
22,player_rankings,1506,DELETE,2025-05-11
